Date,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus
13/04/2013,13,21,24,34,35,39,2
10/04/2013,5,13,14,19,26,37,40
06/04/2013,1,10,18,21,31,37,11
03/04/2013,2,11,13,16,26,42,17
30/03/2013,3,9,15,27,33,41,20
27/03/2013,1,9,13,14,20,37,28
23/03/2013,6,15,19,23,24,39,1
20/03/2013,17,18,20,22,23,35,44
16/03/2013,3,4,15,30,33,41,27
13/03/2013,14,20,21,24,27,35,7
09/03/2013,25,37,39,40,41,42,22
06/03/2013,8,10,12,23,39,44,29
02/03/2013,1,12,21,22,35,39,18
27/02/2013,18,24,26,29,36,37,43
23/02/2013,1,19,26,38,42,45,5
20/02/2013,1,4,14,19,31,40,15
16/02/2013,10,20,23,38,43,44,12
13/02/2013,12,26,31,34,43,45,8
09/02/2013,24,29,32,33,36,37,38
06/02/2013,2,18,21,35,36,38,24
02/02/2013,3,4,7,22,29,35,40
30/01/2013,15,19,21,33,36,40,18
26/01/2013,16,20,32,34,36,38,5
23/01/2013,15,29,34,35,37,42,30
19/01/2013,4,7,16,21,23,31,1
16/01/2013,4,12,14,34,43,45,31
12/01/2013,8,20,24,32,34,40,45
09/01/2013,11,12,15,28,33,41,18
05/01/2013,2,14,16,28,32,45,27
02/01/2013,6,17,19,25,26,36,8
29/12/2012,3,18,23,27,33,44,15
26/12/2012,2,18,19,21,22,33,9
22/12/2012,1,2,9,37,40,41,8
19/12/2012,11,15,16,23,29,37,5
15/12/2012,13,16,18,22,29,39,12
12/12/2012,1,10,23,33,43,45,32
08/12/2012,1,2,3,22,25,43,4
05/12/2012,10,15,16,17,32,45,41
01/12/2012,2,5,10,21,38,40,13
28/11/2012,14,18,25,27,28,32,21
24/11/2012,5,10,18,32,34,36,20
21/11/2012,1,25,32,38,40,42,45
17/11/2012,7,10,20,27,31,36,39
14/11/2012,24,26,29,31,32,41,10
10/11/2012,9,21,22,27,29,40,1
07/11/2012,18,21,24,28,40,43,41
03/11/2012,2,10,17,26,39,42,12
31/10/2012,10,14,24,28,35,36,6
27/10/2012,4,8,9,12,14,31,11
24/10/2012,4,26,30,31,37,41,21
20/10/2012,1,8,20,30,32,39,35
17/10/2012,12,16,20,28,33,45,35
13/10/2012,1,7,13,21,31,44,12
10/10/2012,15,16,21,36,44,45,27
06/10/2012,17,20,22,24,27,44,38
03/10/2012,3,12,17,29,31,39,21
29/09/2012,1,4,8,26,36,39,2
26/09/2012,1,10,11,14,24,27,18
22/09/2012,21,26,28,37,41,43,10
19/09/2012,5,19,21,28,32,36,11
15/09/2012,2,7,8,10,17,23,15
12/09/2012,4,7,18,21,38,44,39
08/09/2012,24,26,39,42,43,44,22
05/09/2012,9,16,18,27,36,39,41
01/09/2012,2,4,14,26,29,39,34
29/08/2012,4,6,16,26,30,40,44
25/08/2012,3,12,20,25,32,36,33
22/08/2012,2,19,20,36,41,44,9
18/08/2012,7,28,32,36,43,45,3
15/08/2012,12,19,20,38,40,42,15
11/08/2012,1,6,7,15,41,43,34
08/08/2012,8,13,17,37,38,43,18
04/08/2012,6,15,24,32,40,42,19
01/08/2012,10,15,19,36,40,43,23
28/07/2012,1,14,16,19,37,38,7
25/07/2012,16,25,28,30,37,38,12
21/07/2012,2,13,18,21,23,40,4
18/07/2012,14,15,17,24,36,38,30
14/07/2012,14,24,34,36,38,44,3
11/07/2012,8,9,31,33,39,43,30
07/07/2012,5,26,32,36,37,42,2
04/07/2012,3,5,7,10,31,43,19
30/06/2012,2,6,8,9,26,34,45
27/06/2012,1,4,6,14,23,34,16
23/06/2012,5,14,22,31,41,42,32
20/06/2012,11,23,27,38,40,42,44
16/06/2012,8,13,15,26,42,43,18
13/06/2012,1,4,9,34,38,41,37
09/06/2012,10,14,17,19,20,23,27
06/06/2012,7,15,16,25,33,43,19
02/06/2012,7,22,25,41,42,44,30
30/05/2012,13,14,17,20,28,35,24
26/05/2012,4,11,15,17,40,43,42
23/05/2012,11,14,21,29,30,40,28
19/05/2012,7,14,20,21,27,36,39
16/05/2012,19,30,31,36,38,40,7
12/05/2012,15,20,28,34,41,42,25
09/05/2012,8,15,16,17,25,45,6
05/05/2012,27,30,32,37,42,45,12
02/05/2012,14,23,24,29,39,41,25
28/04/2012,4,13,20,37,43,45,27
25/04/2012,6,9,27,28,40,43,3
21/04/2012,3,9,11,24,30,41,13
18/04/2012,8,13,19,21,33,36,34
14/04/2012,4,11,14,17,32,44,30
11/04/2012,3,5,9,15,18,28,11
07/04/2012,1,7,10,19,24,43,20
04/04/2012,5,13,16,22,25,39,9
31/03/2012,5,7,28,29,41,42,15
28/03/2012,11,13,29,35,38,42,8
24/03/2012,3,4,12,13,18,24,21
21/03/2012,6,20,27,28,37,38,2
17/03/2012,11,18,27,28,31,36,22
14/03/2012,8,13,19,33,38,43,4
10/03/2012,5,11,18,21,22,42,41
07/03/2012,24,27,31,33,42,45,14
03/03/2012,14,18,23,26,35,44,31
29/02/2012,5,15,21,23,25,31,34
25/02/2012,4,8,13,21,30,34,15
22/02/2012,8,13,18,23,27,33,12
18/02/2012,4,9,11,20,29,32,22
15/02/2012,2,7,11,12,22,38,45
11/02/2012,3,6,13,22,35,43,42
08/02/2012,15,35,37,39,41,45,33
04/02/2012,5,18,30,35,42,44,7
01/02/2012,2,6,7,20,31,39,19
28/01/2012,5,8,22,34,35,36,23
25/01/2012,4,8,19,23,27,33,36
21/01/2012,11,20,25,30,35,42,29
18/01/2012,5,6,21,28,29,42,33
14/01/2012,1,7,9,20,24,36,42
11/01/2012,5,12,17,32,39,43,7
07/01/2012,6,18,20,25,35,45,41
04/01/2012,2,10,26,27,36,42,25
